,scientificName,redlistCategory,populationTrend
8755,Syngnathus watermeyeri,Critically Endangered,Decreasing
8756,Microphis pleurostictus,Endangered,Decreasing
8757,Pseudoeryx relictualis,Vulnerable,Unknown
8758,Pseudocaranx chilensis,Vulnerable,Decreasing
8759,Philodryas livida,Vulnerable,Decreasing
8760,Stumpffia miery,Endangered,Decreasing
8761,Elacatinus cayman,Endangered,Unknown
8762,Tigrigobius harveyi,Endangered,Decreasing
8763,Elacatinus centralis,Endangered,Decreasing
8764,Gobiodon erythrospilus,Vulnerable,Unknown
8765,Redigobius dispar,Vulnerable,Unknown
8766,Lamprochrus hedyotinus,Critically Endangered,Decreasing
8767,Sympetrum dilatatum,Critically Endangered,Unknown
8768,Elachista trifasciata,Critically Endangered,Unknown
8769,Scopula separata,Vulnerable,Decreasing
8770,Anthicodes fragilis,Endangered,Decreasing
8771,Anthicodes maculatus,Critically Endangered,Decreasing
8772,Mellissius eudoxus,Critically Endangered,Decreasing
8773,Mellissius oryctoides,Critically Endangered,Decreasing
8774,Boophis andohahela,Vulnerable,Decreasing
8775,Boophis schuboeae,Endangered,Decreasing
8776,Gephyromantis enki,Vulnerable,Decreasing
8777,Boophis anjanaharibeensis,Endangered,Decreasing
8778,Boophis ankarafensis,Critically Endangered,Decreasing
8779,Aetomylaeus nichofii,Vulnerable,Decreasing
8780,Aetomylaeus vespertilio,Endangered,Decreasing
8781,Alopias pelagicus,Endangered,Decreasing
8782,Aptychotrema timorensis,Vulnerable,Unknown
8783,Brachaelurus colcloughi,Vulnerable,Decreasing
8784,Carcharhinus albimarginatus,Vulnerable,Decreasing
8785,Carcharhinus amblyrhynchoides,Vulnerable,Decreasing
8786,Carcharhinus dussumieri,Endangered,Decreasing
8787,Carcharhinus sealei,Vulnerable,Decreasing
8788,Centrophorus harrissoni,Endangered,Decreasing
8789,Centrophorus moluccensis,Vulnerable,Decreasing
8790,Centrophorus squamosus,Endangered,Decreasing
8791,Centroscymnus owstonii,Vulnerable,Unknown
8792,Cephaloscyllium albipinnum,Critically Endangered,Decreasing
8793,Chimaera phantasma,Vulnerable,Decreasing
8794,Deania quadrispinosa,Vulnerable,Decreasing
8795,Eusphyra blochii,Endangered,Decreasing
8796,Glaucostegus granulatus,Critically Endangered,Decreasing
8797,Glaucostegus typus,Critically Endangered,Decreasing
8798,Glyphis garricki,Vulnerable,Decreasing
8799,Glyphis glyphis,Vulnerable,Decreasing
8800,Hemipristis elongata,Vulnerable,Decreasing
8801,Himantura leoparda,Vulnerable,Decreasing
8802,Mobula alfredi,Vulnerable,Decreasing
8803,Mobula birostris,Endangered,Decreasing
8804,Scymnodon plunketi,Vulnerable,Decreasing
8805,Rhizoprionodon acutus,Vulnerable,Decreasing
8806,Rhynchobatus australiae,Critically Endangered,Decreasing
8807,Spiniraja whitleyi,Vulnerable,Decreasing
8808,Squalus chloroculus,Endangered,Decreasing
8809,Squalus montalbani,Vulnerable,Decreasing
8810,Squatina albipunctata,Vulnerable,Decreasing
8811,Taeniurops meyeni,Vulnerable,Decreasing
8812,Urogymnus asperrimus,Vulnerable,Decreasing
8813,Urolophus bucculentus,Vulnerable,Decreasing
8814,Urolophus orarius,Endangered,Decreasing
8815,Urolophus sufflavus,Vulnerable,Decreasing
8816,Urolophus viridis,Vulnerable,Decreasing
8817,Dipturus maugeanus,Endangered,Decreasing
8818,Dipturus intermedius,Critically Endangered,Decreasing
8819,Afroanthracites usambaricus,Vulnerable,Decreasing
8820,Aerotegmina megaloptera,Critically Endangered,Decreasing
8821,Aerotegmina taitensis,Endangered,Decreasing
8822,Afrophisis pseudoflagellata,Endangered,Decreasing
8823,Rhainopomma montanum,Vulnerable,Decreasing
8824,Aloeides dentatis,Vulnerable,
8825,Pseudococcus markharveyi,Critically Endangered,Unknown
8826,Acizzia mccarthyi,Endangered,Unknown
8827,Bombus caliginosus,Vulnerable,Decreasing
8828,Bombus fraternus,Endangered,Decreasing
8829,Bombus morrisoni,Vulnerable,Decreasing
8830,Hyperolius ukwiva,Endangered,Decreasing
8831,Hyperolius spinigularis,Vulnerable,Decreasing
8832,Hyperolius davenporti,Critically Endangered,Decreasing
8833,Hyperolius burgessi,Vulnerable,Decreasing
8834,Hyperolius ruvuensis,Critically Endangered,Decreasing
8835,Megachile cypricola,Critically Endangered,Decreasing
8836,Lampsilis cariosa,Vulnerable,Decreasing
8837,Alasmidonta varicosa,Vulnerable,Decreasing
8838,Epioblasma triquetra,Endangered,Decreasing
8839,Ligumia nasuta,Vulnerable,Decreasing
8840,Fisherola nuttalli,Endangered,Decreasing
8841,Physella wrighti,Critically Endangered,Stable
8842,Juga hemphilli,Endangered,Decreasing
8843,Valvata mergella,Endangered,Unknown
8844,Chorthippus ferdinandi,Endangered,Decreasing
8845,Omocestus navasi,Endangered,Decreasing
8846,Ephippiger melisi,Endangered,Decreasing
8847,Ovaliptila kinzelbachi,Vulnerable,Unknown
8848,Ovaliptila nana,Vulnerable,Unknown
8849,Poecilimon istanbul,Vulnerable,Unknown
8850,Liolaemus curis,Critically Endangered,Decreasing
8851,Liolaemus hellmichi,Vulnerable,Stable
8852,Liolaemus leopardinus,Endangered,Decreasing
8853,Liolaemus lorenzmuelleri,Endangered,Decreasing
8854,Liolaemus paulinae,Critically Endangered,Decreasing
8855,Pristidactylus alvaroi,Endangered,Unknown
8856,Pristidactylus valeriae,Endangered,Unknown
8857,Liolaemus stolzmanni,Endangered,Decreasing
8858,Pristidactylus torquatus,Vulnerable,Unknown
8859,Naziritor chelynoides,Vulnerable,Decreasing
8860,Sahyadria denisonii,Endangered,Decreasing
8861,Dawkinsia exclamatio,Endangered,Unknown
8862,Pethia khugae,Vulnerable,Unknown
8863,Pethia manipurensis,Endangered,Decreasing
8864,Dawkinsia arulius,Endangered,Decreasing
8865,Dawkinsia assimilis,Vulnerable,Unknown
8866,Sahyadria chalakkudiensis,Endangered,Decreasing
8867,Platypygius crassus,Endangered,Decreasing
8868,Stenobothrus croaticus,Critically Endangered,Decreasing
8869,Pseudomogoplistes byzantius,Endangered,Decreasing
8870,Asiotmethis limbatus,Vulnerable,Decreasing
8871,Paranocaracris bulgaricus,Endangered,Unknown
8872,Isophya boldyrevi,Critically Endangered,Decreasing
8873,Isophya ciucasi,Endangered,Decreasing
8874,Eechathalakenda ophicephalus,Endangered,Unknown
8875,Pethia ornata,Vulnerable,Unknown
8876,Isophya dobrogensis,Vulnerable,Unknown
8877,Isophya doneciana,Critically Endangered,Decreasing
8878,Isophya gulae,Critically Endangered,Unknown
8879,Isophya hospodar,Endangered,Decreasing
8880,Isophya obtusa,Vulnerable,Decreasing
8881,Isophya sicula,Endangered,Decreasing
