,Villagers,Tally
285,Puck,340.0
286,Winnie,340.0
287,Lucy,338.0
288,Anicotti,336.0
289,Vladimir,334.0
290,Mathilda,333.0
291,Hippeux,331.0
292,Sylvia,330.0
293,Ava,328.0
294,Curt,327.0
295,Benedict,327.0
296,Dora,324.0
297,Tad,324.0
298,Tammi,320.0
299,Paolo,320.0
300,Victoria,319.0
301,Frobert,317.0
302,Angus,316.0
303,Groucho,314.0
304,Knox,313.0
305,Leonardo,308.0
306,Cleo,304.0
307,Elmer,304.0
308,Kevin,304.0
309,Rowan,293.0
310,Simon,293.0
311,Jambette,292.0
312,Rocket,291.0
313,Gabi,288.0
314,Monique,287.0
315,Kody,287.0
316,Kitty,282.0
317,Penelope,282.0
318,Ed,280.0
319,Huck,278.0
320,Lucha,272.0
321,Boris,267.0
322,Baabara,266.0
323,Bud,260.0
324,Peggy,258.0
325,Maggie,258.0
326,Vic,256.0
327,Spork,255.0
328,Gruff,254.0
329,Cobb,253.0
330,Soleil,253.0
331,Claude,251.0
332,Claudia,248.0
333,Rasher,244.0
334,Chelsea,244.0
335,Bettina,244.0
336,Friga,241.0
337,Cyrano,240.0
338,Carrie,240.0
339,Chow,234.0
340,Timbra,231.0
341,Peewee,227.0
342,Annalise,227.0
343,Charlise,227.0
344,Rory,220.0
345,Peaches,219.0
346,Astrid,218.0
347,Frank,217.0
348,Alli,217.0
349,Cesar,214.0
350,Broffina,214.0
351,Samson,209.0
352,Louie,208.0
353,Miranda,207.0
354,Cashmere,206.0
355,Truffles,202.0
356,Buzz,200.0
357,Peck,200.0
358,Naomi,199.0
359,Ike,198.0
360,Velma,197.0
361,Robin,195.0
362,Monty,194.0
363,Croque,191.0
364,Maelle,190.0
365,Elise,189.0
366,Gloria,189.0
367,Gigi,188.0
368,Rooney,186.0
369,T-Bone,186.0
370,Paula,185.0
371,Sandy,184.0
372,Gwen,179.0
373,Rocco,175.0
374,Rhonda,175.0
375,Clyde,174.0
376,Chops,173.0
377,Candi,173.0
378,Sparro,173.0
379,Ricky,172.0
380,Pancetti,169.0
381,Becky,169.0
382,Curly,167.0
383,Queenie,161.0
384,Mott,159.0
385,Mallary,158.0
386,Rizzo,158.0
387,Greta,158.0
388,Moose,154.0
389,Harry,154.0
390,Limberg,152.0
391,Snooty,145.0
392,Toby,143.0
393,Bitty,140.0
394,Boyd,140.0
395,Violet,133.0
396,Rilla,100.0
