"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Chasmistes liorus","June sucker","Fishes","Threatened","Wherever found"
"Chelonia mydas","Green sea turtle","Reptiles","Endangered","Green sea turtles originating from the Central South Pacific Ocean, bounded by the following coordinates: 9 degrees N., 175 degrees W. in the northwest; 9 degrees N., 125 degrees W. in the northeast; 40 degrees S., 96 degrees W. in the southeast; 40 degrees S., 176 degrees E. in the southwest; and 13 degrees S., 171 degrees E. in the west"
"Chelonia mydas","Green sea turtle","Reptiles","Endangered","Green sea turtles originating from the Central West Pacific Ocean, bounded by the following coordinates: 41 degrees N., 146 degrees E. in the northwest; 41 degrees N., 169 degrees E. in the northeast; 9 degrees N., 175 degrees W. in the east; 13 degrees S., 171 degrees E. in the southeast; along the northern coast of the island of New Guinea; and 4.5 degrees N., 129 degrees E. in the west"
"Chelonia mydas","Green sea turtle","Reptiles","Endangered","Green sea turtles originating from the Mediterranean Sea, bounded by 5.5 degrees W. Long. in the west"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the Central North Pacific Ocean, bounded by the following coordinates: 41 degrees N., 169 degrees E. in the northwest; 41 degrees N., 143 degrees W. in the northeast; 9 degrees N., 125 degrees W. in the southeast; and 9 degrees N., 175 degrees W. in the southwest Pacific coast of Mexico"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the Eastern Indian and Western Pacific Oceans, bounded by the following lines and coordinates: 41 degrees N. Lat. in the north, 41 degrees N., 146 degrees E. in the northeast; 4.5 degrees N., 129 degrees E. in the southeast; along the southern coast of the island of New Guinea; along the western coast of Australia (west of 142 degrees E. Long.); 40 degrees S. Lat. in the south; and 84 degrees E. Long. in the east"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the East Pacific Ocean, bounded by the following lines and coordinates: 41 degrees N., 143 degrees W. in the northwest; 41 degrees N. Lat. in the north; along the western coasts of the Americas; 40 degrees S. Lat. in the south; and 40 degrees S., 96 degrees W. in the southwest"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the North Atlantic Ocean, bounded by the following lines and coordinates: 48 degrees N. Lat. in the north, along the western coasts of Europe and Africa (west of 5.5 degrees W. Long.); north of 19 degrees N. Lat. in the east; bounded by 19 degrees N., 65.1 degrees W. to 14 degrees N., 65.1 degrees W. then 14 degrees N., 77 degrees W. in the south and west; and along the eastern coasts of the Americas (north of 7.5 degrees N., 77 degrees W.)"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the North Indian Ocean, bounded by: Africa and Asia in the west and north; 84 degrees E. Long. in the east; and the equator in the south"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the South Atlantic Ocean, bounded by the following lines and coordinates: along the northern and eastern coasts of South America (east of 7.5 degrees N., 77 degrees W.); 14 degrees N., 77 degrees W. to 14 degrees N., 65.1 degrees W. to 19 degrees N., 65.1 degrees W. in the north and west; 19 degrees N. Lat. in the northeast; 40 degrees S., 19 degrees E. in the southeast; and 40 degrees S. Lat. in the south"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the Southwest Indian Ocean, bounded by the following lines: the equator to the north; 84 degrees E. Long. to the east; 40 degrees S. Lat. to the south; and 19 degrees E. Long (and along the eastern coast of Africa) in the west"
"Chelonia mydas","Green sea turtle","Reptiles","Threatened","Green sea turtles originating from the Southwest Pacific Ocean, bounded by the following lines and coordinates: along the southern coast of the island of New Guinea and the Torres Strait (east of 142 degrees E Long.); 13 degrees S., 171 degrees E. in the northeast; 40 degrees S., 176 degrees E. in the southeast; and 40 degrees S., 142 degrees E. in the southwest"
"Chilabothrus granti","Virgin Islands tree boa","Reptiles","Endangered","Wherever found"
"Chinchilla brevicaudata boliviana","Chinchilla","Mammals","Endangered","Wherever found"
"Chiropotes albinasus","White-nosed saki","Mammals","Endangered","Wherever found"
"Chiropotes satanas satanas","Southern bearded saki","Mammals","Endangered","Wherever found"
"Chlamyphorus truncatus","Pink fairy armadillo","Mammals","Endangered","Wherever found"
"Chondrohierax uncinatus mirus","Grenada hook-billed kite","Birds","Endangered","Wherever found"
"Chondrohierax uncinatus wilsonii","Cuba hook-billed kite","Birds","Endangered","Wherever found"
"Chrosomus saylori","Laurel dace","Fishes","Endangered","Wherever found"
"Chrysocyon brachyurus","Maned wolf","Mammals","Endangered","Wherever found"
"Cichlherminia iherminieri santaeluciae","St. Lucia Forest thrush","Birds","Endangered","Wherever found"
"Cicindela dorsalis dorsalis","Northeastern beach tiger beetle","Insects","Threatened","Wherever found"
"Cicindela nevadica lincolniana","Salt Creek Tiger beetle","Insects","Endangered","Wherever found"
"Cicindela ohlone","Ohlone tiger beetle","Insects","Endangered","Wherever found"
"Cicindela puritana","Puritan tiger beetle","Insects","Threatened","Wherever found"
"Cicindelidia floridana","Miami tiger beetle","Insects","Endangered","Wherever found"
"Ciconia boyciana (=ciconia b.)","Oriental white stork","Birds","Endangered","Wherever found"
"Cicurina baronia","Robber Baron Cave Meshweaver","Arachnids","Endangered","Wherever found"
"Cicurina madla","Madla Cave Meshweaver","Arachnids","Endangered","Wherever found"
"Cicurina venii","Braken Bat Cave Meshweaver","Arachnids","Endangered","Wherever found"
"Cicurina vespera","Government Canyon Bat Cave Meshweaver","Arachnids","Endangered","Wherever found"
"Cinclocerthia ruficauda gutturalis","Martinique trembler (thrasher)","Birds","Endangered","Wherever found"
"Cinclodes aricomae","Royal cinclodes","Birds","Endangered","Wherever found"
"Clemmys muhlenbergii","bog turtle","Reptiles","Similarity of Appearance to a Threatened Taxon","U.S.A. (GA, NC, SC, TN, VA)"
"Clemmys muhlenbergii","bog turtle","Reptiles","Threatened","Wherever found, except GA, NC, SC, TN, VA"
"Cnemidophorus vanzoi","Maria Island ground lizard","Reptiles","Endangered","Wherever found"
"Coccyzus americanus","Yellow-billed Cuckoo","Birds","Threatened","Western DPS: U.S.A. (AZ, CA, CO (western), ID, MT (western), NM (western), NV, OR, TX (western), UT, WA, WY (western)); Canada (British Columbia (southwestern); Mexico (Baja California, Baja California Sur, Chihuahua, Durango (western), Sinaloa, Sonora)"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","Birds","Endangered","Wherever found"
"Colobus satanas","Black colobus monkey","Mammals","Endangered","Wherever found"
"Columba inornata wetmorei","Puerto Rican plain Pigeon","Birds","Endangered","Wherever found"
"Columba junoniae","White-tailed laurel Pigeon","Birds","Threatened","Wherever found"
"Columba mayeri","Pink pigeon","Birds","Endangered","Wherever found"
"Columba palumbus azorica","Azores wood pigeon","Birds","Endangered","Wherever found"
"Conolophus pallidus","Barrington land iguana","Reptiles","Endangered","Wherever found"
"Conraua goliath","Goliath Frog","Amphibians","Threatened","Wherever found"
"Copsychus niger cebuensis","Cebu black shama (thrush)","Birds","Endangered","Wherever found"
"Copsychus sechellarum","Seychelles magpie-robin (thrush)","Birds","Endangered","Wherever found"
"Coquus newtoni","Reunion cuckoo-shrike","Birds","Endangered","Wherever found"
"Coquus typicus","Mauritius cuckoo-shrike","Birds","Endangered","Wherever found"
"Coracopsis nigra barklyi","Seychelles lesser vasa parrot","Birds","Endangered","Wherever found"
"Coreobagrus ichikawai","Nekogigi (catfish)","Fishes","Endangered","Wherever found"
"Corvus hawaiiensis","Hawaiian (='alala) Crow","Birds","Endangered","Wherever found"
"Corvus kubaryi","Mariana (=aga) Crow","Birds","Endangered","Wherever found"
"Corvus leucognaphalus","White-necked crow","Birds","Endangered","Wherever found"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Mammals","Endangered","Wherever found"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Mammals","Endangered","Wherever found"
"Cotinga maculata","Banded cotinga","Birds","Endangered","Wherever found"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Fishes","Threatened","Wherever found"
"Cottus specus","Grotto Sculpin","Fishes","Endangered","Wherever found"
"Craseonycteris thonglongyai","Bumblebee bat","Mammals","Endangered","Wherever found"
"Crax alberti","Blue-billed curassow","Birds","Endangered","Wherever found"
"Crax blumenbachii","Red-billed curassow","Birds","Endangered","Wherever found"
"Crenichthys baileyi baileyi","White River springfish","Fishes","Endangered","Wherever found"
"Crenichthys baileyi grandis","Hiko White River springfish","Fishes","Endangered","Wherever found"
"Crenichthys nevadae","Railroad Valley springfish","Fishes","Threatened","Wherever found"
"Crocodylus acutus","American crocodile","Reptiles","Endangered","Wherever found, except in U.S.A. (FL)"
"Crocodylus acutus","American crocodile","Reptiles","Threatened","U.S.A. (FL)"
"Crocodylus cataphractus","African slender-snouted crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus intermedius","Orinoco crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus niloticus","Nile crocodile","Reptiles","Threatened","Wherever found"
"Crocodylus novaeguineae mindorensis","Philippine crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus palustris kimbula","Ceylon mugger crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus palustris palustris","Mugger crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus porosus","Saltwater crocodile","Reptiles","Endangered","Wherever found, except Papua New Guinea and Australia"
"Crocodylus porosus","Saltwater crocodile","Reptiles","Threatened","Australia"
"Crocodylus rhombifer","Cuban crocodile","Reptiles","Endangered","Wherever found"
"Crocodylus siamensis","Siamese crocodile","Reptiles","Endangered","Wherever found"
"Crossoptilon crossoptilon","White eared pheasant","Birds","Endangered","Wherever found"
"Crossoptilon mantchuricum","Brown eared pheasant","Birds","Endangered","Wherever found"
"Crotalus unicolor","Aruba Island rattlesnake","Reptiles","Threatened","Wherever found"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Reptiles","Threatened","Wherever found"
"Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender Missouri DPS","Amphibians","Endangered","Missouri DPS"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Amphibians","Endangered","Wherever found"
"Crystallaria cincotta","diamond Darter","Fishes","Endangered","Wherever found"
"Cumberlandia monodonta","Spectaclecase (mussel)","Clams","Endangered","Wherever found"
"Cuon alpinus","Dhole","Mammals","Endangered","Wherever found"
"Cyanopsitta spixii","Little blue macaw","Birds","Endangered","Wherever found"
"Cyanoramphus auriceps forbesi","Forbes' parakeet","Birds","Endangered","Wherever found"
"Cyanoramphus cookii (=novaezelandiae c.)","Norfolk Island parakeet","Birds","Endangered","Wherever found"
"Cyclargus (=Hemiargus) thomasi bethunebakeri","Miami Blue Butterfly","Insects","Endangered","Wherever found"
"Cyclargus ammon","Nickerbean Blue Butterfly","Insects","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Cyclura carinata bartschi","Mayaguana iguana","Reptiles","Threatened","Wherever found"
"Cyclura carinata carinata","Turks and Caicos iguana","Reptiles","Threatened","Wherever found"
"Cyclura collei","Jamaican iguana","Reptiles","Endangered","Wherever found"
"Cyclura cychlura cychlura","Andros Island ground iguana","Reptiles","Threatened","Wherever found"
"Cyclura cychlura figginsi","Exuma Island iguana","Reptiles","Threatened","Wherever found"
"Cyclura cychlura inornata","Allen's Cay iguana","Reptiles","Threatened","Wherever found"
"Cyclura lewisi","Grand Cayman ground iguana","Reptiles","Endangered","Wherever found"
"Cyclura nubila caymanensis","Cayman Brac ground iguana","Reptiles","Threatened","Wherever found"
"Cyclura nubila nubila","Cuban ground iguana","Reptiles","Threatened","Cuba (excludes U.S. Puerto Rico population)"
"Cyclura pinguis","Anegada ground iguana","Reptiles","Endangered","Wherever found"
"Cyclura rileyi cristata","White Cay ground iguana","Reptiles","Threatened","Wherever found"
"Cyclura rileyi nuchalis","Acklins ground iguana","Reptiles","Threatened","Wherever found"
"Cyclura rileyi rileyi","Watling Island ground iguana","Reptiles","Endangered","Wherever found"
"Cyclura stejnegeri","Mona ground Iguana","Reptiles","Threatened","Wherever found"
"Cynomys mexicanus","Mexican prairie dog","Mammals","Endangered","Mexico"
"Cynomys parvidens","Utah prairie dog","Mammals","Threatened","Wherever found"
"Cynoscion macdonaldi","Totoaba (seatrout or weakfish)","Fishes","Endangered","Wherever found"
"Cyprinella caerulea","Blue shiner","Fishes","Threatened","Wherever found"
"Cyprinella formosa","Beautiful shiner","Fishes","Threatened","Wherever found"
"Cyprinodon bovinus","Leon Springs pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon diabolis","Devils Hole pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon elegans","Comanche Springs pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon macularius","Desert pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","Fishes","Endangered","Wherever found"
"Cyprinodon radiosus","Owens pupfish","Fishes","Endangered","Wherever found"
"Cyprogenia stegaria","Fanshell","Clams","Endangered","Wherever found"
"Cyprogenia stegaria","Fanshell","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Cyrtodactylus serpensinsula","Serpent Island gecko","Reptiles","Threatened","Wherever found"
"Cyrtonaias tampicoensis tecomatensis","Tampico pearlymussel","Clams","Endangered","Wherever found"
"Cyrtonyx montezumae merriami","Merriam's Montezuma quail","Birds","Endangered","Wherever found"
"Dama mesopotamica (=dama m.)","Persian fallow deer","Mammals","Endangered","Wherever found"
"Damaliscus pygarus (=dorcas) dorcas","Bontebok","Mammals","Endangered","Wherever found"
"Dasyornis broadbenti littoralis","Western rufous bristlebird","Birds","Endangered","Wherever found"
"Dasyornis longirostris (=brachypterus I.)","Western bristlebird","Birds","Endangered","Wherever found"
"Dasyurus viverrinus","Eastern native-cat","Mammals","Endangered","Wherever found"
"Daubentonia madagascariensis","Aye-aye","Mammals","Endangered","Wherever found"
"Delphinapterus leucas","beluga whale","Mammals","Endangered","Cook Inlet DPS See 50 CFR 224.101"
"Deltistes luxatus","Lost River sucker","Fishes","Endangered","Wherever found"
"Dendrogyra cylindrus","Pillar Coral","Corals","Threatened","Wherever found"
"Dendroica chrysoparia","Golden-cheeked warbler (=wood)","Birds","Endangered","Wherever found"
"Dendroica petechia petechia","Barbados yellow warbler (=wood)","Birds","Endangered","Wherever found"
"Dermatemys mawii","Central American river turtle","Reptiles","Endangered","Wherever found"
"Dermochelys coriacea","Leatherback sea turtle","Reptiles","Endangered","Wherever found"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","Insects","Threatened","Wherever found"
"Dicerorhinus sumatrensis","Sumatran rhinoceros","Mammals","Endangered","Wherever found"
"Diceros bicornis","Black rhinoceros","Mammals","Endangered","Sub-Saharan Africa"
"Dinacoma caseyi","Casey's June Beetle","Insects","Endangered","Wherever found"
"Diomedia amsterdamensis","Amsterdam Albatross","Birds","Endangered","Wherever found"
"Dionda diaboli","Devils River minnow","Fishes","Threatened","Wherever found"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","Mammals","Endangered","Wherever found"
"Dipodomys ingens","Giant kangaroo rat","Mammals","Endangered","Wherever found"
"Dipodomys merriami parvus","San Bernardino Merriam's kangaroo rat","Mammals","Endangered","Wherever found"
"Dipodomys nitratoides exilis","Fresno kangaroo rat","Mammals","Endangered","Wherever found"
"Dipodomys nitratoides nitratoides","Tipton kangaroo rat","Mammals","Endangered","Wherever found"
"Dipodomys stephensi (incl. D. cascus)","Stephens' kangaroo rat","Mammals","Endangered","Wherever found"
"Discoglossus nigriventer","Israel painted frog","Amphibians","Endangered","Wherever found"
"Discus macclintocki","Iowa Pleistocene snail","Snails","Endangered","Wherever found"
"Drepanis coccinea","`I`iwi","Birds","Threatened","Wherever found"
"Drepanoptila holosericea","Cloven-feathered dove","Birds","Endangered","Wherever found"
"Dromus dromas","Dromedary pearlymussel","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Dromus dromas","Dromedary pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Dromus dromas","Dromedary pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Drosophila aglaia","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila differens","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila digressa","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila hemipeza","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila heteroneura","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila montgomeryi","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila mulli","Hawaiian picture-wing fly","Insects","Threatened","Wherever found"
"Drosophila musaphilia","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila neoclavisetae","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila obatai","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila ochrobasis","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila sharpi","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila substenoptera","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drosophila tarphytrichia","Hawaiian picture-wing fly","Insects","Endangered","Wherever found"
"Drymarchon corais couperi","Eastern indigo snake","Reptiles","Threatened","Wherever found"
"Dryocopus javensis richardsi","Tristam's woodpecker","Birds","Endangered","Wherever found"
"Ducula galeata","Marquesas pigeon","Birds","Endangered","Wherever found"
"Ducula mindorensis","Mindoro imperial (=zone-tailed) pigeon","Birds","Endangered","Wherever found"
"Dugong dugon","Dugong","Mammals","Endangered","Wherever found"
"Egretta eulophotes","Chinese egret","Birds","Endangered","Wherever found"
"Elaphrus viridis","Delta green ground beetle","Insects","Threatened","Wherever found"
"Elassoma alabamae","Spring pygmy sunfish","Fishes","Threatened","Wherever found"
"Elephas maximus","Asian elephant","Mammals","Endangered","Wherever found"
"Eleutherodactylus cooki","Guajon","Amphibians","Threatened","Wherever found"
"Eleutherodactylus jasperi","Golden coqui","Amphibians","Threatened","Wherever found"
"Eleutherodactylus juanariveroi","Llanero Coqui","Amphibians","Endangered","Wherever found"
"Elimia crenatella","Lacy elimia (snail)","Snails","Threatened","Wherever found"
"Elliptio chipolaensis","Chipola slabshell","Clams","Threatened","Wherever found"
"Elliptio lanceolata","Yellow lance","Clams","Threatened","Wherever found"
"Elliptio spinosa","Altamaha Spinymussel","Clams","Endangered","Wherever found"
"Elliptio steinstansana","Tar River spinymussel","Clams","Endangered","Wherever found"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","Clams","Threatened","Wherever found"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","Mammals","Endangered","Wherever found"
"Emballonura semicaudata semicaudata","Pacific sheath-tailed Bat","Mammals","Endangered","American Samoa"
"Emoia slevini","Slevin's skink","Reptiles","Endangered","Wherever found"
"Empetrichthys latos","Pahrump poolfish","Fishes","Endangered","Wherever found"
"Empidonax euleri johnstonei","Euler's flycatcher","Birds","Endangered","Wherever found"
"Empidonax traillii extimus","Southwestern willow flycatcher","Birds","Endangered","Wherever found"
"Enhydra lutris kenyoni","Northern Sea Otter","Mammals","Threatened","Southwest Alaska, from Attu Island to Western Cook Inlet, including Bristol Bay, the Kodiak Archipelago, and the Barren Islands"
"Enhydra lutris nereis","Southern sea otter","Mammals","Threatened","Wherever found"
"Epicrates inornatus","Puerto Rican boa","Reptiles","Endangered","Wherever found"
"Epicrates monensis monensis","Mona boa","Reptiles","Threatened","Wherever found"
"Epicrates subflavus","Jamaican boa","Reptiles","Endangered","Wherever found"
"Epinephelus striatus","Nassau grouper","Fishes","Threatened","Entire"
"Epioblasma brevidens","Cumberlandian combshell","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma brevidens","Cumberlandian combshell","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Epioblasma brevidens","Cumberlandian combshell","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Epioblasma capsaeformis","Oyster mussel","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma capsaeformis","Oyster mussel","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Epioblasma capsaeformis","Oyster mussel","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Epioblasma florentina curtisii","Curtis pearlymussel","Clams","Endangered","Wherever found"
"Epioblasma florentina florentina","Yellow blossom (pearlymussel)","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma florentina florentina","Yellow blossom (pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Clams","Endangered","Wherever found"
"Epioblasma metastriata","Upland combshell","Clams","Endangered","Wherever found"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Epioblasma obliquata perobliqua","White catspaw (pearlymussel)","Clams","Endangered","Wherever found"
"Epioblasma othcaloogensis","Southern acornshell","Clams","Endangered","Wherever found"
"Epioblasma penita","Southern combshell","Clams","Endangered","Wherever found"
"Epioblasma torulosa gubernaculum","Green blossom (pearlymussel)","Clams","Endangered","Wherever found"
"Epioblasma torulosa rangiana","Northern riffleshell","Clams","Endangered","Wherever found"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Epioblasma triquetra","Snuffbox mussel","Clams","Endangered","Wherever found"
"Epioblasma turgidula","Turgid blossom (pearlymussel)","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Epioblasma turgidula","Turgid blossom (pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Equus africanus","African wild ass","Mammals","Endangered","Wherever found"
"Equus grevyi","Grevy's zebra","Mammals","Threatened","Wherever found"
"Equus hemionus","Asian wild ass","Mammals","Endangered","Wherever found"
"Equus przewalskii","Przewalski's horse","Mammals","Endangered","Wherever found"
"Equus zebra hartmannae","Hartmann's mountain zebra","Mammals","Threatened","Wherever found"
"Equus zebra ssp. zebra","Cape Mountain zebra","Mammals","Endangered","Entire"
"Equus zebra zebra","Mountain zebra","Mammals","Endangered","Wherever found"
"Eremichthys acros","Desert dace","Fishes","Threatened","Wherever found"
"Eremophila alpestris strigata","Streaked Horned lark","Birds","Threatened","Wherever found"
"Eretmochelys imbricata","Hawksbill sea turtle","Reptiles","Endangered","Wherever found"
"Erignathus barbatus nauticus","bearded Seal","Mammals","Threatened","Beringia DPS - See 50 CFR 223.102"
"Erignathus barbatus nauticus","bearded Seal","Mammals","Threatened","Okhotsk DPS - See 50 CFR 223.102"
"Erimonax monachus","Spotfin Chub","Fishes","Experimental Population, Non-Essential","U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))"
"Erimonax monachus","Spotfin Chub","Fishes","Experimental Population, Non-Essential","U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii))"
"Erimonax monachus","Spotfin Chub","Fishes","Experimental Population, Non-Essential","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))"
"Erimonax monachus","Spotfin Chub","Fishes","Threatened","Wherever found, except where listed as an experimental population"
"Erimystax cahni","Slender chub","Fishes","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))"
"Erimystax cahni","Slender chub","Fishes","Threatened","Wherever found"
"Erinna newcombi","Newcomb's snail","Snails","Threatened","Wherever found"
"Eriocnemis nigrivestis","black-breasted puffleg","Birds","Endangered","Wherever found"
"Eschrichtius robustus","Gray whale","Mammals","Endangered","Western North Pacific DPS See 50 CFR 224.101"
"Etheostoma akatulo","bluemask darter","Fishes","Endangered","Wherever found"
"Etheostoma boschungi","Slackwater darter","Fishes","Threatened","Wherever found"
"Etheostoma chermocki","Vermilion darter","Fishes","Endangered","Wherever found"
"Etheostoma chienense","Relict darter","Fishes","Endangered","Wherever found"
"Etheostoma etowahae","Etowah darter","Fishes","Endangered","Wherever found"
"Etheostoma fonticola","Fountain darter","Fishes","Endangered","Wherever found"
"Etheostoma moorei","Yellowcheek Darter","Fishes","Endangered","Wherever found"
"Etheostoma nianguae","Niangua darter","Fishes","Threatened","Wherever found"
"Etheostoma nuchale","Watercress darter","Fishes","Endangered","Wherever found"
"Etheostoma okaloosae","Okaloosa darter","Fishes","Threatened","Wherever found"
"Etheostoma osburni","Candy darter","Fishes","Endangered","Wherever found"
"Etheostoma percnurum","Duskytail darter","Fishes","Endangered","Wherever found"
"Etheostoma percnurum","Duskytail darter","Fishes","Experimental Population, Non-Essential","The Tellico River, between the backwaters of the Tellico Reservoir (approximately Tellico River mile 19 (30.4 kilometers) and Tellico River mile 33 (52.8 kilometers), near the Tellico Ranger Station, Monroe County, Tennessee."
"Etheostoma percnurum","Duskytail darter","Fishes","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))"
"Etheostoma phytophilum","Rush Darter","Fishes","Endangered","Wherever found"
"Etheostoma rubrum","Bayou darter","Fishes","Threatened","Wherever found"
"Etheostoma scotti","Cherokee darter","Fishes","Threatened","Wherever found"
"Etheostoma sellare","Maryland darter","Fishes","Endangered","Wherever found"
"Etheostoma spilotum","Kentucky arrow darter","Fishes","Threatened","Wherever found"
"Etheostoma susanae","Cumberland darter","Fishes","Endangered","Wherever found"
"Etheostoma trisella","Trispot darter","Fishes","Threatened","Wherever found"
"Etheostoma wapiti","Boulder darter","Fishes","Endangered","Wherever found"
