"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Ambystoma tigrinum stebbinsi","Sonora tiger Salamander","Amphibians","Endangered","Wherever found"
"Ameiva polops","St. Croix ground lizard","Reptiles","Endangered","Wherever found"
"Ammodorcas clarkei","Clark's gazelle","Mammals","Endangered","Wherever found"
"Ammodramus maritimus mirabilis","Cape Sable seaside sparrow","Birds","Endangered","Wherever found"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Birds","Endangered","Wherever found"
"Amphispiza belli clementeae","San Clemente sage sparrow","Birds","Threatened","Wherever found"
"Amytornis goyderi","Eyrean grasswren (flycatcher)","Birds","Endangered","Wherever found"
"Anacropora spinosa","No common name","Corals","Threatened","Wherever found"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","Insects","Endangered","Wherever found"
"Anairetes alpinus","Ash-breasted tit-tyrant","Birds","Endangered","Wherever found"
"Anas aucklandica nesiotis","Campbell Island flightless teal","Birds","Endangered","Wherever found"
"Anas laysanensis","Laysan duck","Birds","Endangered","Wherever found"
"Anas wyvilliana","Hawaiian (=koloa) Duck","Birds","Endangered","Wherever found"
"Anaxyrus californicus","Arroyo (=arroyo southwestern) toad","Amphibians","Endangered","Wherever found"
"Anaxyrus canorus","Yosemite toad","Amphibians","Threatened","Wherever found"
"Andrias davidianus (=davidianus d.)","Chinese giant salamander","Amphibians","Endangered","Wherever found"
"Andrias japonicus (=davidianus j.)","Japanese giant salamander","Amphibians","Endangered","Wherever found"
"Anguispira picta","Painted snake coiled forest snail","Snails","Threatened","Wherever found"
"Anodorhynchus glaucus","Glaucous macaw","Birds","Endangered","Wherever found"
"Anodorhynchus hyacinthinus","Hyacinth macaw","Birds","Threatened","Wherever found"
"Anodorhynchus leari","Indigo macaw","Birds","Endangered","Wherever found"
"Anolis roosevelti","Culebra Island giant anole","Reptiles","Endangered","Wherever found"
"Anoxypristis cuspidata","Narrow sawfish","Fishes","Endangered","Wherever found"
"Antechinomys laniger","Eastern jerboa marsupial","Mammals","Endangered","Wherever found"
"Antechinus apicalis","Dibbler","Mammals","Endangered","Wherever found"
"Antilocapra americana peninsularis","Peninsular pronghorn","Mammals","Endangered","Mexico (Baja California)"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Mammals","Endangered","Wherever found, except where listed as an experimental population"
